Year,field,Yield,Organic matter content,Total carbon,Total nitrogen,Electrical conductivity,Sand,Carbon-nitrogen ratio,Available phosphorus,Variety,Days to heading,Planting system,Organic,Green manure,Manure,Soil amendments,Herbicide,Pesticide,Years of production,Average temperature1,Min temperature1,Max temperature1,Precipitation1,Radiation1,Average temperature2,Min temperature2,Max temperature2,Precipitation2,Radiation2,Average temperature3,Min temperature3,Max temperature3,Precipitation3,Radiation3,Average temperature4,Min temperature4,Max temperature4,Precipitation4,Radiation4
2022,F001,5.197,3.748,2.313,0.212,0.608,37.588,10.906,16.979,1,91.86,1,0,0,0,0,1,1,3,20.772,15.938,26.392,4.981,11.209,23.544,18.505,28.941,4.667,12.538,25.01,20.529,30.249,9.565,17.567,24.718,21.079,29.001,11.331,15.596
2023,F001,5.695,1.813,1.049,0.087,0.479,49.474,12.072,17.54,4,86.36,0,0,0,1,1,1,1,4,20.272,16.139,25.732,8.01,15.386,24.413,18.903,28.474,5.657,14.341,26.441,22.048,30.841,10.789,21.005,24.288,18.533,28.325,8.559,18.993
2022,F002,6.14,2.864,1.629,0.157,0.399,25.152,10.374,24.276,2,77.18,0,0,1,0,1,1,1,7,21.646,16.962,25.521,5.33,11.889,23.94,18.539,28.758,11.132,17.193,26.371,20.918,30.748,7.735,21.461,22.149,17.66,25.138,6.507,19.185
2023,F002,5.575,2.263,1.229,0.101,0.641,20.519,12.217,19.301,4,96.37,1,0,1,1,0,1,0,7,22.091,15.674,27.663,5.393,13.451,24.409,20.535,29.132,6.405,17.543,26.75,21.355,31.282,5.806,14.91,23.819,19.352,28.244,6.712,16.957
2021,F002,6.706,2.734,1.599,0.165,0.453,46.333,9.699,18.472,4,91.13,1,0,0,1,0,1,1,7,21.274,15.924,24.892,6.522,14.137,24.749,17.44,27.215,8.484,15.607,26.2,22.873,31.083,4.983,13.805,23.456,17.687,28.278,6.716,20.227
2022,F003,5.656,4.124,2.434,0.215,0.554,37.448,11.331,8.333,1,73.85,1,1,0,0,0,1,1,2,20.75,14.858,24.714,5.827,12.817,22.312,17.165,26.528,6.288,15.901,25.992,21.258,30.214,8.669,16.982,23.591,18.969,27.62,5.902,20.1
2021,F003,5.776,3.455,1.951,0.161,0.711,40.957,12.112,14.194,4,90.03,1,0,0,0,1,1,1,2,22.634,18.623,26.414,4.843,19.508,22.569,17.181,25.535,9.462,15.331,26.157,21.891,30.45,7.86,15.722,24.754,20.133,29.42,6.352,17.906
2023,F004,6.228,2.552,1.496,0.14,0.513,40.484,10.697,9.232,2,82.88,1,0,1,0,0,1,0,3,21.082,16.667,26.586,4.499,11.285,24.968,20.382,29.112,7.254,16.056,28.963,23.851,33.158,7.733,15.891,25.391,20.836,29.343,6.626,20.316
2022,F004,5.218,2.005,1.108,0.094,0.503,43.593,11.828,11.117,1,83.74,0,0,0,0,1,1,1,8,22.736,17.797,26.941,9.981,12.954,25.181,21.031,31.003,7.467,15.038,26.471,20.876,31.883,8.022,20.515,25.341,20.777,30.662,1.0,18.592
2021,F005,5.192,2.579,1.528,0.143,0.317,22.631,10.708,26.737,4,92.09,0,1,0,0,0,1,1,8,19.291,14.244,22.258,3.364,13.402,22.532,17.426,26.456,9.623,16.577,25.661,20.473,30.276,1.797,15.453,24.363,18.299,28.457,9.001,15.582
2022,F005,5.241,2.213,1.132,0.107,0.544,39.438,10.588,12.799,2,94.03,1,0,0,1,0,1,0,6,21.581,16.826,25.524,5.651,12.856,24.271,18.652,28.572,5.751,16.767,25.857,22.587,30.568,7.406,15.15,24.703,20.257,28.761,11.155,16.758
2021,F006,5.961,2.019,1.137,0.113,0.604,51.186,10.076,11.9,3,91.65,1,0,0,1,0,0,1,4,21.487,17.3,26.309,5.783,14.092,22.204,17.0,26.118,7.54,15.68,26.02,20.649,31.293,6.92,14.513,23.992,17.766,28.876,4.535,18.068
2023,F006,5.127,3.244,1.798,0.195,0.319,54.668,9.223,17.212,2,86.66,0,0,0,0,1,1,0,1,21.012,16.124,26.68,6.553,15.917,24.044,19.579,28.081,9.114,13.886,26.72,22.3,31.126,7.905,18.218,23.594,17.69,27.993,7.805,17.15
2022,F007,5.63,1.993,1.045,0.105,0.653,26.954,9.936,12.462,1,78.77,1,0,1,0,0,1,0,8,21.488,16.829,25.639,6.699,16.064,24.152,19.588,28.445,8.795,18.918,26.769,21.825,31.991,7.521,13.95,22.497,17.547,25.758,3.69,21.729
2023,F007,5.128,3.035,1.845,0.16,0.955,33.432,11.53,10.483,3,84.37,1,1,0,1,0,0,1,5,20.882,15.534,24.949,5.257,14.771,25.2,20.85,27.917,7.045,15.891,26.361,22.661,29.692,9.135,15.919,23.024,18.602,25.842,3.736,17.214
2023,F008,5.567,2.887,1.75,0.17,0.842,34.421,10.265,10.352,1,89.73,0,1,0,0,1,1,1,3,22.859,16.866,27.385,6.969,14.657,25.165,21.276,30.614,7.248,15.996,26.869,20.853,30.288,6.96,19.319,24.202,17.25,29.454,2.508,17.765
2021,F008,4.967,2.928,1.53,0.149,0.526,50.317,10.294,20.633,4,80.75,1,0,0,1,0,1,1,6,20.942,16.969,25.366,3.611,17.287,24.837,20.367,29.335,10.998,11.659,24.434,20.295,28.89,8.406,15.702,24.375,18.862,27.603,8.369,16.887
2022,F009,5.734,3.142,1.831,0.163,0.486,39.799,11.254,11.769,2,89.71,1,0,0,1,1,1,1,1,21.296,16.866,24.928,2.734,13.029,22.939,17.614,27.949,7.674,16.839,27.374,23.218,31.401,10.003,20.972,23.146,18.132,27.47,6.064,19.017
2023,F009,5.894,2.467,1.393,0.121,0.442,34.962,11.546,18.162,3,92.62,0,0,0,1,1,0,1,2,22.614,17.1,27.988,1.524,14.732,24.781,19.857,29.816,7.617,19.609,27.373,21.857,31.458,6.225,19.232,23.948,18.758,28.578,9.04,16.902
2021,F010,5.121,3.223,1.836,0.217,0.333,27.839,8.475,24.832,1,89.42,0,0,1,0,1,1,1,4,20.97,16.003,23.639,3.202,15.92,23.188,18.182,26.965,8.271,15.677,27.278,23.479,32.632,7.484,14.184,25.098,20.125,29.007,7.382,14.952
2023,F010,5.604,3.264,1.987,0.168,0.403,39.857,11.806,15.147,1,95.48,1,1,0,1,0,0,1,7,23.546,19.282,28.705,5.426,13.715,23.501,18.663,27.736,8.89,16.506,26.483,21.642,31.345,9.111,17.787,24.81,20.931,29.707,3.603,17.306
2022,F010,5.221,3.043,1.852,0.159,0.378,31.676,11.659,12.116,2,86.1,1,0,0,0,0,0,1,7,20.94,14.894,24.128,5.782,13.346,25.026,19.799,28.865,6.939,16.961,25.461,21.036,30.275,5.103,14.488,23.914,19.316,29.004,9.538,16.723
2021,F011,6.202,2.988,1.672,0.181,0.772,26.742,9.238,10.195,1,65.0,0,0,0,1,1,1,1,1,21.307,16.632,24.639,6.36,14.642,25.11,20.923,30.546,2.64,13.779,24.702,19.996,29.764,4.215,18.776,23.519,18.849,27.88,4.78,20.919
2022,F011,5.67,2.842,1.65,0.168,0.442,52.134,9.848,15.347,3,88.41,0,0,1,0,1,1,1,2,21.856,17.123,26.712,2.886,17.596,25.047,19.662,29.143,6.587,13.716,25.676,19.411,30.411,7.309,17.216,24.393,18.566,27.768,8.396,15.673
2023,F012,5.029,3.81,2.196,0.271,0.589,43.706,8.088,15.625,1,79.64,1,0,0,0,1,1,1,3,20.706,16.508,25.627,5.547,15.103,26.755,21.944,31.123,6.758,14.927,26.362,20.765,31.299,11.759,18.581,24.034,18.54,28.656,7.674,17.714
2021,F012,5.503,4.272,2.378,0.204,0.604,35.549,11.636,11.052,2,84.41,0,0,0,1,1,1,0,2,21.819,16.039,25.955,6.858,15.501,22.732,18.792,27.073,5.349,15.222,25.699,21.131,31.034,6.231,17.979,23.136,17.467,26.123,5.566,18.267
2022,F013,6.731,4.285,2.498,0.223,0.673,40.372,11.205,20.617,3,87.67,1,1,0,1,0,1,1,2,22.016,17.787,25.75,1.454,12.598,23.51,19.877,27.504,3.991,16.263,26.816,22.376,30.542,6.811,17.368,22.606,17.093,26.344,10.376,23.0
2023,F013,6.06,4.796,2.715,0.241,0.4,29.561,11.262,13.279,1,75.72,1,1,0,1,1,0,1,4,22.774,17.278,27.273,8.112,13.903,24.321,19.38,29.458,7.544,13.316,26.738,22.447,30.252,7.594,12.751,24.178,19.518,28.218,7.475,17.377
2022,F014,4.84,2.465,1.529,0.16,0.653,41.172,9.567,20.333,3,90.44,1,0,0,0,1,1,0,2,22.318,16.376,26.658,2.625,15.34,25.092,20.405,29.045,3.651,19.315,26.019,20.278,31.211,2.685,15.04,24.301,19.879,28.479,4.52,18.48
2021,F014,6.086,2.782,1.67,0.17,0.476,33.889,9.841,21.311,2,77.74,0,1,0,0,1,1,1,3,21.89,17.128,26.361,10.04,10.377,23.741,19.28,27.099,5.879,14.786,25.59,20.105,29.67,10.39,16.589,23.205,17.658,26.66,7.252,20.545
2023,F014,4.796,2.539,1.511,0.175,0.514,28.926,8.632,13.962,4,81.07,1,0,0,1,0,1,0,1,22.212,17.345,26.951,6.268,13.24,23.995,18.676,29.105,8.8,16.562,27.245,22.933,31.98,9.99,18.073,24.567,18.713,29.493,4.863,15.372
2021,F015,5.574,2.948,1.649,0.178,0.428,41.084,9.287,17.186,2,88.36,0,1,1,0,0,0,0,5,21.993,17.212,25.201,4.271,14.366,23.352,17.645,27.731,7.54,16.741,26.545,20.08,32.122,8.705,15.653,22.267,18.2,27.057,5.138,18.401
2023,F015,6.52,3.66,2.114,0.183,0.455,44.183,11.522,21.679,3,90.31,1,0,0,0,1,1,1,7,22.484,17.503,27.211,3.667,11.427,25.372,20.767,28.619,7.2,17.52,26.104,21.049,30.247,9.042,14.236,25.576,21.652,29.872,2.74,21.651
2021,F016,5.104,3.168,1.725,0.172,0.449,36.703,10.003,10.138,4,90.07,1,0,0,1,1,1,0,5,21.733,17.449,26.498,6.068,13.51,23.373,18.116,28.543,9.201,13.117,28.632,22.975,32.592,13.226,13.807,24.409,19.039,27.474,6.672,16.31
2023,F016,6.269,3.016,1.724,0.163,0.495,30.242,10.588,23.946,3,95.75,0,1,0,0,0,1,1,8,21.903,17.353,26.689,8.148,15.16,25.141,21.053,29.108,7.312,18.803,27.09,22.604,31.892,9.191,16.258,23.784,19.138,27.374,7.504,17.619
2022,F016,4.994,3.266,1.939,0.188,0.359,39.665,10.33,13.039,1,86.98,0,0,0,0,0,1,0,2,21.492,15.843,26.438,6.987,10.929,23.508,17.726,28.219,5.67,18.694,25.44,20.844,29.043,12.3,16.545,24.992,20.22,30.134,5.406,16.335
2023,F017,6.006,3.136,1.74,0.155,0.385,35.029,11.198,15.044,2,84.59,0,0,1,0,1,1,0,3,21.862,16.901,26.772,6.256,15.702,23.304,18.562,27.9,8.596,18.115,25.617,18.727,29.07,6.407,18.965,23.313,17.958,27.946,6.222,18.204
2021,F017,5.336,4.649,2.734,0.303,0.431,33.723,9.037,17.282,4,92.71,0,1,1,1,0,1,0,2,21.447,15.853,26.158,2.813,10.665,23.385,19.288,28.01,7.245,16.502,24.89,20.322,29.429,5.816,18.22,25.339,21.523,29.756,4.546,14.363
2021,F018,6.135,2.776,1.618,0.141,0.613,38.359,11.514,24.637,4,97.93,0,0,0,1,0,0,0,3,19.701,14.216,23.239,6.307,13.361,22.44,18.834,25.483,2.386,12.626,25.346,20.141,29.912,9.624,17.842,23.203,18.065,27.214,8.9,20.212
2022,F018,5.68,3.844,2.252,0.221,0.68,35.376,10.2,14.337,4,87.86,0,0,1,0,1,1,1,3,22.253,17.488,26.715,4.662,13.844,25.961,21.889,30.113,5.855,17.523,26.361,21.815,30.278,4.604,18.092,25.008,20.926,29.399,5.85,17.717
2023,F019,6.14,3.427,1.88,0.186,0.447,49.95,10.107,7.68,1,80.73,1,1,0,1,0,1,0,8,21.859,16.227,25.24,8.487,12.741,24.115,17.661,28.472,5.494,16.973,25.751,20.312,30.406,9.145,18.06,24.783,19.096,29.356,1.0,19.304
2022,F019,5.847,3.964,2.249,0.233,0.618,41.234,9.658,17.007,3,89.77,0,0,0,1,1,1,1,5,20.945,14.51,25.836,6.301,15.613,24.457,19.389,29.152,9.544,14.868,26.723,22.118,31.84,6.82,20.391,23.436,17.756,28.235,7.298,17.237
2023,F020,5.485,3.775,2.252,0.211,0.739,39.6,10.691,27.191,3,79.41,0,1,1,0,1,1,1,6,21.136,15.685,25.328,5.92,11.332,24.806,18.918,28.081,12.258,15.25,25.749,20.66,29.867,11.494,19.991,24.063,18.736,27.221,6.193,16.688
2021,F020,5.276,2.725,1.494,0.132,0.656,42.055,11.349,19.134,4,95.04,1,0,1,0,1,1,0,8,20.937,15.435,26.423,8.497,17.444,23.509,18.61,28.525,7.137,15.858,24.348,20.358,28.931,6.45,18.61,23.923,19.622,27.358,9.709,16.491
2021,F021,5.536,2.968,1.889,0.161,0.254,44.482,11.711,17.18,1,72.5,0,0,1,1,1,1,1,8,21.315,15.719,25.694,9.562,15.664,24.523,19.443,28.021,8.264,15.893,25.554,20.29,28.417,9.042,17.155,23.784,19.739,27.774,9.168,20.662
2023,F021,6.117,3.444,1.992,0.189,0.366,38.032,10.555,19.714,4,89.64,0,1,0,0,0,0,0,5,22.386,16.422,27.372,9.027,15.446,26.097,20.897,30.552,6.421,18.334,26.431,22.044,30.011,4.518,16.719,26.19,21.346,31.641,4.468,17.182
2021,F022,5.394,2.957,1.796,0.177,0.539,26.039,10.133,27.824,3,96.54,0,0,0,0,1,1,1,1,19.796,14.618,23.912,3.02,17.275,24.651,19.402,29.157,8.056,17.444,25.802,20.85,31.074,5.43,15.74,24.377,19.827,28.324,1.0,15.541
2023,F022,4.6,3.775,2.189,0.193,0.478,47.475,11.367,18.358,4,88.51,1,1,0,1,1,1,0,3,20.29,15.431,23.596,5.155,17.0,22.678,17.267,26.487,5.974,17.819,24.183,19.778,28.237,10.156,15.957,23.888,18.994,28.331,6.153,10.777
2022,F022,5.832,3.482,1.992,0.196,0.237,35.587,10.141,17.099,2,89.36,0,1,0,1,0,1,1,4,21.881,15.949,25.135,7.138,15.118,24.897,20.57,29.657,8.75,16.008,26.864,22.415,30.365,7.134,19.005,25.897,21.776,29.175,9.028,18.929
2021,F023,4.932,4.067,2.382,0.205,0.92,38.473,11.641,19.946,4,67.98,0,1,1,0,0,1,1,8,22.159,16.854,26.337,6.092,16.967,24.61,19.718,28.538,12.994,19.809,25.664,19.615,31.437,6.16,15.976,23.509,18.379,28.385,5.515,14.913
2022,F023,6.27,4.001,2.306,0.223,0.547,45.65,10.338,16.988,3,82.79,1,0,0,1,1,1,1,4,21.442,16.828,25.478,5.081,16.102,23.804,19.385,27.431,8.877,15.734,27.669,22.909,33.21,7.908,17.546,24.123,18.135,28.205,5.189,20.72
2021,F024,5.83,4.35,2.415,0.242,0.724,28.962,9.98,21.078,1,72.94,0,0,0,1,0,1,1,2,21.104,15.731,24.62,6.062,12.444,23.968,18.436,27.901,4.205,16.848,26.182,21.566,30.942,9.373,17.726,22.417,16.415,26.422,9.012,17.973
2023,F024,5.567,2.931,1.734,0.16,0.15,49.081,10.859,27.14,2,80.53,1,1,0,0,0,1,1,6,22.301,18.13,27.101,1.804,14.674,25.316,20.325,29.979,8.79,16.284,26.842,21.529,31.608,9.85,14.338,24.548,20.121,28.361,2.715,16.713
2022,F024,6.176,4.459,2.694,0.25,0.956,36.26,10.775,14.166,2,80.81,1,0,0,1,0,1,1,6,22.347,16.849,27.202,3.156,15.222,23.714,19.679,27.896,4.836,11.519,25.22,21.263,30.203,13.439,17.286,25.42,20.203,30.66,5.808,21.403
2023,F025,6.289,3.98,2.244,0.222,0.458,42.222,10.112,19.894,3,81.55,0,0,1,0,0,1,0,5,22.318,17.208,26.089,7.143,17.434,23.391,17.306,28.14,7.815,22.152,26.505,21.86,31.751,3.501,17.711,24.948,20.18,28.961,8.094,16.938
2021,F025,5.589,3.676,1.991,0.177,0.5,38.691,11.222,6.0,2,84.06,1,1,0,0,1,0,1,5,21.644,16.036,26.012,7.984,15.825,23.925,18.788,28.143,9.887,18.256,25.931,20.107,29.531,8.633,15.788,24.428,19.97,28.358,6.456,19.896
2022,F025,6.502,4.663,2.602,0.256,0.441,39.07,10.163,21.036,4,93.22,1,1,1,1,1,1,1,5,21.263,16.177,25.133,4.44,12.407,25.282,21.832,29.542,6.151,17.412,26.386,20.644,31.213,9.275,15.956,23.567,19.344,27.186,9.535,18.642
2023,F026,4.969,2.071,1.161,0.117,0.486,53.214,9.942,16.79,4,92.78,0,0,0,0,1,1,1,8,20.951,16.857,26.428,4.817,14.08,25.649,21.961,30.26,10.099,15.694,26.363,20.434,30.945,7.094,15.759,25.575,20.996,31.345,4.839,18.259
2021,F026,4.942,2.654,1.491,0.133,0.883,44.766,11.199,12.4,4,87.48,1,0,0,0,0,1,1,7,21.008,16.103,24.327,6.436,14.764,23.414,18.258,27.618,7.167,19.435,26.734,21.933,31.116,4.506,17.871,24.794,19.701,28.765,5.125,17.201
2022,F026,5.625,2.941,1.698,0.166,0.667,48.487,10.249,14.752,4,92.39,1,1,1,1,0,1,0,6,22.158,17.528,25.058,7.114,15.724,21.34,16.093,24.595,7.37,15.845,25.368,20.594,30.466,7.132,15.124,24.361,19.386,29.442,5.929,18.126
2022,F025,5.248,2.27,1.338,0.109,0.402,40.567,12.218,12.962,2,85.19,1,0,0,1,1,0,1,1,19.708,15.576,23.715,8.558,13.113,24.147,19.664,28.816,7.894,17.316,24.714,19.672,27.896,4.779,16.583,23.517,18.408,27.436,6.099,18.758
2021,F008,5.541,2.571,1.5,0.131,0.581,23.701,11.41,11.935,4,91.26,0,0,0,1,1,1,0,2,21.426,16.112,25.832,7.204,17.361,23.976,17.895,28.59,9.238,16.591,25.229,20.565,27.775,9.195,16.717,22.753,17.206,26.729,6.512,18.651
2021,F016,6.091,3.515,2.126,0.206,0.908,52.019,10.333,14.96,3,76.42,1,0,1,1,0,1,1,5,20.269,15.407,24.816,4.19,11.651,24.196,19.585,27.558,6.005,16.532,25.179,19.475,29.229,7.846,20.972,23.399,20.033,27.201,5.061,21.194
2023,F018,4.933,3.014,1.709,0.181,0.444,40.256,9.464,17.416,3,79.58,0,0,0,1,0,0,0,5,21.498,16.777,24.594,5.755,14.616,24.633,18.883,29.029,6.157,16.012,25.014,21.332,29.776,8.668,15.997,22.428,17.666,25.564,8.777,17.582
2022,F021,4.893,2.571,1.354,0.118,0.15,27.225,11.513,19.214,2,77.28,1,0,1,0,0,0,0,6,23.134,17.792,27.361,1.73,12.586,25.654,20.392,30.085,6.338,19.516,25.396,20.761,29.436,7.336,18.795,24.554,18.919,28.315,7.708,17.647
2021,F025,5.35,4.138,2.406,0.234,0.389,29.682,10.295,12.268,4,91.64,0,1,0,1,0,1,0,6,20.282,15.969,24.484,6.182,17.159,21.622,17.001,24.954,7.532,17.796,25.603,19.5,29.891,10.693,18.255,23.636,19.828,28.031,7.625,19.555
